,B,C
4.439379,0.00011914231566577792,0.0005271881962834031
4.455741,0.0001187762318802801,0.0005289473956788646
4.4676,0.00011851112903414873,0.0005302189841262375
4.472763,0.00011839576287450456,0.0005307717374315196
4.489077,0.00011803148925320184,0.0005325146759203799
4.5009,0.0001177677136462738,0.0005337745062586358
4.506063,0.00011765258467138016,0.0005343237910290658
4.522377,0.00011728907746585851,0.0005360557777345497
4.5342,0.00011702587324759508,0.000537307677982384
4.539379,0.00011691065303238578,0.0005378551399087804
4.555741,0.00011654687550695501,0.0005395813538707914
4.5676,0.00011628349226536524,0.0005408290579011351
4.572763,0.0001161688872839474,0.0005413714178943027
4.589077,0.00011580706772399598,0.0005430815413824849
4.6009,0.00011554511662584062,0.0005443176121079588
4.606079,0.00011543045312547338,0.000544858144755182
4.622441,0.00011506846551426298,0.000546562482324471
4.6343,0.00011480640845989617,0.0005477943482697657
4.639463,0.00011469238838986009,0.0005483298169348874
4.655777,0.00011433244638591708,0.0005500181847449403
4.6676,0.0001140718836346236,0.0005512385056220343
4.672763,0.00011395817683611764,0.0005517705474171261
4.689077,0.00011359923844792587,0.0005534480974024225
4.7009,0.00011333941598562631,0.0005546605874425989
4.706079,0.00011322569542744955,0.000555190798662959
4.722441,0.00011286672885672064,0.0005568625539788918
4.7343,0.00011260690034664548,0.0005580708342614326
4.739463,0.00011249386068119394,0.0005585960413866297
4.755777,0.00011213705608719095,0.0005602520172113567
4.7676,0.00011187880434546213,0.0005614488912982392
4.772779,0.00011176577811110883,0.0005619722678490632
4.789141,0.0001114090302874088,0.0005636224498982259
4.801,0.00011115083316475974,0.0005648151157144785
4.806163,0.00011103850983947667,0.0005653335298910156
4.822477,0.00011068399233163354,0.0005669680648736385
4.8343,0.00011042742035802911,0.0005681494210293447
4.839463,0.00011031547176805118,0.0005686644603327662
4.855777,0.00010996214935124405,0.0005702883436487808
4.8676,0.00010970645387754222,0.0005714619911388693
4.872779,0.0001095945558136364,0.0005719752027900493
4.889141,0.00010924140604030924,0.0005735933027975758
4.901,0.00010898584791102595,0.0005747627507633543
4.906163,0.00010887468168745948,0.0005752710649108645
4.922477,0.00010852385195580409,0.0005768737235895408
4.9343,0.00010826998242323902,0.0005780320117192829
4.939479,0.00010815888919419944,0.0005785385019463694
4.955841,0.00010780830227462903,0.0005801353898663087
4.9677,0.0001075546201668646,0.0005812894882803095
4.972863,0.00010744427556018351,0.0005817911256363206
4.989177,0.00010709606067516368,0.0005833727136824202
5.001,0.00010684410387831491,0.0005845157551812117
5.006163,0.00010673418303797783,0.0005850140779592078
5.022477,0.00010638731584699393,0.0005865852063368364
5.0343,0.00010613634397390032,0.0005877206797128216
5.039479,0.00010602652668186485,0.0005882171865754863
5.055841,0.00010567999769818533,0.0005897825705355257
5.0677,0.00010542928131234052,0.0005909138742717195
5.072863,0.00010532023435592375,0.0005914055969337589
5.089177,0.0001049761445931816,0.0005929558985302764
5.101,0.00010472720088085801,0.0005940763034891201
5.106179,0.00010461827591285232,0.0005945662170412437
5.122541,0.00010427458191529145,0.0005961107963663633
5.1344,0.00010402593474133828,0.0005972270483408695
5.139563,0.00010391779246725345,0.0005977122245107078
5.155877,0.00010357657587082168,0.0005992418696906896
5.1677,0.00010332972822832623,0.0006003473305765814
5.172863,0.00010322204819753735,0.0006008292590337072
5.189177,0.00010288229890321141,0.0006023486569808916
5.201,0.00010263652102594445,0.0006034467047967301
5.206179,0.00010252898796030489,0.0006039268363209693
5.222541,0.0001021897123681503,0.0006054405513600146
5.2344,0.0001019442865922778,0.0006065344755550932
5.239563,0.00010183755184090222,0.0006070099411667981
5.255877,0.0001015008018132648,0.0006085089482195679
5.2677,0.00010125720935883539,0.0006095922455479983
5.272879,0.00010115063658006253,0.0006100659235449322
5.289241,0.00010081440706740976,0.000611559277676372
5.3011,0.00010057120007286512,0.0006126384736292785
5.306263,0.00010046543423731637,0.0006131075341049412
